County Name,Most Recent Date,Total Count Confirmed,Total Count Deaths,COVID-19 Positive Patients,Suspected COVID-19 Positive Patients,ICU COVID-19 Positive Patients,ICU COVID-19 Suspected Patients
Alpine,43986.00,1.00,0.00,,,,
Amador,43986.00,2.00,0.00,0.00,0.00,0.00,0.00
Butte,43986.00,11.00,0.00,1.00,15.00,1.00,5.00
Calaveras,43986.00,4.00,0.00,0.00,0.00,0.00,0.00
Colusa,43986.00,1.00,0.00,0.00,0.00,0.00,0.00
Contra Costa,43986.00,447.00,7.00,30.00,28.00,15.00,11.00
Del Norte,43986.00,2.00,0.00,0.00,3.00,0.00,0.00
El Dorado,43986.00,23.00,0.00,16.00,1.00,0.00,0.00
Fresno,43986.00,122.00,1.00,18.00,81.00,11.00,20.00
Glenn,43986.00,2.00,0.00,0.00,0.00,0.00,0.00
Humboldt,43986.00,37.00,0.00,3.00,12.00,0.00,3.00
Imperial,43986.00,47.00,1.00,9.00,14.00,7.00,2.00
Inyo,43986.00,11.00,0.00,9.00,114.00,1.00,0.00
Kern,43986.00,117.00,2.00,24.00,36.00,12.00,5.00
Kings,43986.00,3.00,0.00,3.00,3.00,2.00,0.00
Lake,43986.00,1.00,0.00,0.00,8.00,0.00,2.00
Lassen,43986.00,0.00,0.00,0.00,0.00,0.00,0.00
Los Angeles,43986.00,6346.00,145.00,1166.00,1070.00,486.00,175.00
Madera,43986.00,29.00,2.00,0.00,2.00,0.00,1.00
Marin,43986.00,119.00,7.00,8.00,8.00,4.00,4.00
Mariposa,43986.00,0.00,0.00,0.00,3.00,0.00,0.00
Mendocino,43986.00,4.00,0.00,0.00,2.00,0.00,2.00
Merced,43986.00,25.00,1.00,4.00,2.00,0.00,2.00
Modoc,43986.00,0.00,0.00,0.00,0.00,0.00,0.00
Mono,43986.00,18.00,1.00,20.00,2.00,0.00,0.00
Monterey,43986.00,62.00,2.00,16.00,15.00,5.00,1.00
Napa,43986.00,18.00,2.00,0.00,7.00,0.00,0.00
Nevada,43986.00,19.00,1.00,1.00,5.00,1.00,2.00
Orange,43986.00,910.00,17.00,145.00,171.00,73.00,33.00
Placer,43986.00,90.00,3.00,20.00,12.00,10.00,1.00
Plumas,43986.00,2.00,0.00,0.00,0.00,0.00,0.00
Riverside,43986.00,854.00,17.00,129.00,193.00,46.00,65.00
Sacramento,43986.00,448.00,15.00,77.00,78.00,26.00,19.00
San Benito,43986.00,25.00,1.00,3.00,3.00,2.00,0.00
San Bernardino,43986.00,550.00,13.00,148.00,185.00,60.00,43.00
San Diego,43986.00,1406.00,19.00,187.00,224.00,83.00,25.00
San Francisco,43986.00,586.00,6.00,80.00,71.00,34.00,9.00
San Joaquin,43986.00,191.00,10.00,31.00,32.00,14.00,3.00
San Luis Obispo,43986.00,85.00,1.00,2.00,3.00,2.00,2.00
San Mateo,43986.00,569.00,20.00,68.00,20.00,25.00,5.00
Santa Barbara,43986.00,189.00,2.00,34.00,26.00,19.00,5.00
Santa Clara,43986.00,1128.00,43.00,181.00,49.00,79.00,10.00
Santa Cruz,43986.00,65.00,1.00,5.00,9.00,4.00,2.00
Shasta,43986.00,16.00,3.00,6.00,3.00,2.00,2.00
Sierra,43986.00,0.00,0.00,,,,
Siskiyou,43986.00,4.00,0.00,0.00,0.00,0.00,0.00
Solano,43986.00,95.00,1.00,15.00,21.00,6.00,6.00
Sonoma,43986.00,102.00,1.00,6.00,18.00,2.00,4.00
Stanislaus,43986.00,72.00,0.00,28.00,28.00,12.00,4.00
Sutter,43986.00,14.00,2.00,0.00,0.00,,
Tehama,43986.00,1.00,0.00,0.00,0.00,0.00,0.00
Trinity,43986.00,0.00,0.00,0.00,0.00,0.00,0.00
Tulare,43986.00,126.00,5.00,12.00,24.00,8.00,3.00
Tuolumne,43986.00,1.00,0.00,0.00,0.00,0.00,0.00
Unassigned,43986.00,53.00,2.00,,,,
Ventura,43986.00,234.00,6.00,22.00,106.00,9.00,20.00
Yolo,43986.00,43.00,1.00,4.00,0.00,3.00,4.00
Yuba,43986.00,8.00,0.00,1.00,19.00,1.00,3.00
Alameda,44016.00,560.00,14.00,76.00,84.00,43.00,25.00
Alpine,44016.00,1.00,0.00,,,,
Amador,44016.00,2.00,0.00,0.00,0.00,0.00,0.00
Butte,44016.00,11.00,0.00,1.00,14.00,1.00,5.00
Calaveras,44016.00,5.00,0.00,0.00,1.00,0.00,0.00
Colusa,44016.00,2.00,0.00,0.00,0.00,0.00,0.00
Contra Costa,44016.00,471.00,7.00,31.00,38.00,17.00,9.00
Del Norte,44016.00,2.00,0.00,0.00,3.00,0.00,1.00
El Dorado,44016.00,22.00,0.00,16.00,2.00,0.00,3.00
Fresno,44016.00,138.00,3.00,20.00,82.00,11.00,13.00
Glenn,44016.00,2.00,0.00,0.00,0.00,0.00,0.00
Humboldt,44016.00,40.00,0.00,2.00,7.00,0.00,0.00
Imperial,44016.00,53.00,2.00,9.00,14.00,7.00,2.00
Inyo,44016.00,11.00,0.00,9.00,121.00,1.00,0.00
Kern,44016.00,134.00,2.00,28.00,91.00,14.00,13.00
Kings,44016.00,5.00,0.00,3.00,4.00,2.00,0.00
Lake,44016.00,1.00,0.00,0.00,0.00,0.00,0.00
Lassen,44016.00,0.00,0.00,0.00,1.00,0.00,0.00
